S_No,स्टेशन,जिला
1,पटना,पटना
2,गयाजी,गयाजी
3,भागलपुर,भागलपुर
4,पूर्णिया,पूर्णिया
5,वाल्मीकि नगर,पश्चिम चम्पारण
6,मुजफ्फरपुर,मुजफ्फरपुर
7,छपरा,सारण
8,दरभंगा,दरभंगा
9,सुपौल,सुपौल
10,फॉरबिसगंज,अररिया
11,सबौर,भागलपुर
12,डेहरी,रोहतास
13,मधुबनी,मधुबनी
14,मोतिहारी,पूर्वी चम्पारण
15,शेखपुरा,शेखपुरा
16,गोपालगंज,गोपालगंज
17,मधेपुरा,मधेपुरा
18,जमुई,जमुई
19,बक्सर,बक्सर
20,शिवहर,शिवहर
21,भोजपुर,भोजपुर
22,समस्तीपुर,समस्तीपुर
23,वैशाली,वैशाली
24,पुपरी,सीतामढ़ी
25,औरंगाबाद,औरंगाबाद
26,बेगूसराय,बेगूसराय
27,खगड़िया,खगड़िया
28,बांका,बांका
29,कटिहार,कटिहार
30,नवादा,नवादा
31,राजगीर,नालंदा
32,अररिया,अररिया
33,जीरादेई,सिवान
34,पूसा,समस्तीपुर
35,अगवानपुर,सहरसा
36,किशनगंज,किशनगंज
37,कैमूर,कैमूर
38,अरवल,अरवल
39,बिक्रमगंज,रोहतास
40,मुंगेर,मुंगेर
41,जहानाबाद,जहानाबाद
